data_subset,optimal early stop val_loss,optimal early stop epoch,optimal early stop mini-epoch,optimal early stop time,optimal early stop trn_loss,test loss,identity loss,model parameters,fold,device,solver,batchid,taskid,jobid,plot_mode,plots_wait_for_exit,config_configid,x_dataset,y_dataset,kfolds,data_validation_samples,minibatch_examples,run_test,whichfold,data_configid,total_train_samples,data_fraction,model_name,epochs,subset_increases_epochs,min_epochs,accumulated_minibatches,use_best_model,preeval_training_set,reeval_training_set_epoch,reeval_training_set_final,epoch_manager,mini_epoch_size,patience,lr,wd,noise,ode_timesteps_file,interpolate,interpolate_noise,identity_gate,cnode1_init_zero,cnode_bias,num_heads,hidden_dim,attend_dim_per_head,depth,ffn_dim_multiplier,dropout,base_data_subset,early_stop,configid,data_dim,sparse_data_dim,attend_dim,model_config,adjusted_epochs,val_loss,val_loss @ epoch,val_loss @ mini_epoch,val_loss @ trn_loss,val_loss @ trn_score,val_loss @ val_score,val_loss @ lr,val_loss @ time,val_loss @ gpu_memory,val_loss @ metric,val_loss @ stop_metric,val_loss @ stop_threshold,val_score,val_score @ epoch,val_score @ mini_epoch,val_score @ trn_loss,val_score @ trn_score,val_score @ val_loss,val_score @ lr,val_score @ time,val_score @ gpu_memory,val_score @ metric,val_score @ stop_metric,val_score @ stop_threshold,trn_loss,trn_loss @ epoch,trn_loss @ mini_epoch,trn_loss @ trn_score,trn_loss @ val_loss,trn_loss @ val_score,trn_loss @ lr,trn_loss @ time,trn_loss @ gpu_memory,trn_loss @ metric,trn_loss @ stop_metric,trn_loss @ stop_threshold,trn_score,trn_score @ epoch,trn_score @ mini_epoch,trn_score @ trn_loss,trn_score @ val_loss,trn_score @ val_score,trn_score @ lr,trn_score @ time,trn_score @ gpu_memory,trn_score @ metric,trn_score @ stop_metric,trn_score @ stop_threshold,mini_epoch,mini_epoch @ epoch,mini_epoch @ trn_loss,mini_epoch @ trn_score,mini_epoch @ val_loss,mini_epoch @ val_score,mini_epoch @ lr,mini_epoch @ time,mini_epoch @ gpu_memory,mini_epoch @ metric,mini_epoch @ stop_metric,mini_epoch @ stop_threshold
1,0.02314891107,0,27,48.98474622,0.0233113463,0.02297153417,0.2625967562,17616,0,cuda:0,trapezoid,5972295,47,5972295,off,FALSE,0,256,256-random,5,1000,250,TRUE,0,0,100000,0.9615384615,canODE-FitMat,28,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,Fixed,800,5,0.06884956615,0.02498485802,0.0105481403,t_shortlinear.csv,FALSE,FALSE,TRUE,TRUE,TRUE,9,16,2,4,2.319143251,0,-1,FALSE,0,256,153,18,canODE-FitMat hp-0-0-0,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02330762427,0,26,-1,0.02316242177,0.02316242177,0.005453430982,47.40984368,446693376,2.40E-06,26,28,-1,0,0,0.2623126805,0.2537413538,0.2537413538,0,2.531573534,446693376,1.79E-06,0,28,27,0,0.0233113463,-1,0.02314891107,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28
3,0.02314891107,0,27,48.98474622,0.0233113463,0.02297153417,0.2625967562,17616,0,cuda:0,trapezoid,5972295,47,5972295,off,FALSE,0,256,256-random,5,1000,250,TRUE,0,0,100000,0.9615384615,canODE-FitMat,28,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,Fixed,800,5,0.06884956615,0.02498485802,0.0105481403,t_shortlinear.csv,FALSE,FALSE,TRUE,TRUE,TRUE,9,16,2,4,2.319143251,0,-1,FALSE,0,256,153,18,canODE-FitMat hp-0-0-0,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02330762427,0,26,-1,0.02316242177,0.02316242177,0.005453430982,47.40984368,446693376,2.40E-06,26,28,-1,0,0,0.2623126805,0.2537413538,0.2537413538,0,2.531573534,446693376,1.79E-06,0,28,27,0,0.0233113463,-1,0.02314891107,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28
10,0.02314891107,0,27,48.98474622,0.0233113463,0.02297153417,0.2625967562,17616,0,cuda:0,trapezoid,5972295,47,5972295,off,FALSE,0,256,256-random,5,1000,250,TRUE,0,0,100000,0.9615384615,canODE-FitMat,28,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,Fixed,800,5,0.06884956615,0.02498485802,0.0105481403,t_shortlinear.csv,FALSE,FALSE,TRUE,TRUE,TRUE,9,16,2,4,2.319143251,0,-1,FALSE,0,256,153,18,canODE-FitMat hp-0-0-0,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02330762427,0,26,-1,0.02316242177,0.02316242177,0.005453430982,47.40984368,446693376,2.40E-06,26,28,-1,0,0,0.2623126805,0.2537413538,0.2537413538,0,2.531573534,446693376,1.79E-06,0,28,27,0,0.0233113463,-1,0.02314891107,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28
32,0.02314891107,0,27,48.98474622,0.0233113463,0.02297153417,0.2625967562,17616,0,cuda:0,trapezoid,5972295,47,5972295,off,FALSE,0,256,256-random,5,1000,250,TRUE,0,0,100000,0.9615384615,canODE-FitMat,28,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,Fixed,800,5,0.06884956615,0.02498485802,0.0105481403,t_shortlinear.csv,FALSE,FALSE,TRUE,TRUE,TRUE,9,16,2,4,2.319143251,0,-1,FALSE,0,256,153,18,canODE-FitMat hp-0-0-0,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02330762427,0,26,-1,0.02316242177,0.02316242177,0.005453430982,47.40984368,446693376,2.40E-06,26,28,-1,0,0,0.2623126805,0.2537413538,0.2537413538,0,2.531573534,446693376,1.79E-06,0,28,27,0,0.0233113463,-1,0.02314891107,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28
100,0.02314891107,0,27,48.98474622,0.0233113463,0.02297153417,0.2625967562,17616,0,cuda:0,trapezoid,5972295,47,5972295,off,FALSE,0,256,256-random,5,1000,250,TRUE,0,0,100000,0.9615384615,canODE-FitMat,28,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,Fixed,800,5,0.06884956615,0.02498485802,0.0105481403,t_shortlinear.csv,FALSE,FALSE,TRUE,TRUE,TRUE,9,16,2,4,2.319143251,0,-1,FALSE,0,256,153,18,canODE-FitMat hp-0-0-0,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02330762427,0,26,-1,0.02316242177,0.02316242177,0.005453430982,47.40984368,446693376,2.40E-06,26,28,-1,0,0,0.2623126805,0.2537413538,0.2537413538,0,2.531573534,446693376,1.79E-06,0,28,27,0,0.0233113463,-1,0.02314891107,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28
316,0.02314891107,0,27,48.98474622,0.0233113463,0.02297153417,0.2625967562,17616,0,cuda:0,trapezoid,5972295,47,5972295,off,FALSE,0,256,256-random,5,1000,250,TRUE,0,0,100000,0.9615384615,canODE-FitMat,28,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,Fixed,800,5,0.06884956615,0.02498485802,0.0105481403,t_shortlinear.csv,FALSE,FALSE,TRUE,TRUE,TRUE,9,16,2,4,2.319143251,0,-1,FALSE,0,256,153,18,canODE-FitMat hp-0-0-0,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02330762427,0,26,-1,0.02316242177,0.02316242177,0.005453430982,47.40984368,446693376,2.40E-06,26,28,-1,0,0,0.2623126805,0.2537413538,0.2537413538,0,2.531573534,446693376,1.79E-06,0,28,27,0,0.0233113463,-1,0.02314891107,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28
1000,0.02314891107,0,27,48.98474622,0.0233113463,0.02297153417,0.2625967562,17616,0,cuda:0,trapezoid,5972295,47,5972295,off,FALSE,0,256,256-random,5,1000,250,TRUE,0,0,100000,0.9615384615,canODE-FitMat,28,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,Fixed,800,5,0.06884956615,0.02498485802,0.0105481403,t_shortlinear.csv,FALSE,FALSE,TRUE,TRUE,TRUE,9,16,2,4,2.319143251,0,-1,FALSE,0,256,153,18,canODE-FitMat hp-0-0-0,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02330762427,0,26,-1,0.02316242177,0.02316242177,0.005453430982,47.40984368,446693376,2.40E-06,26,28,-1,0,0,0.2623126805,0.2537413538,0.2537413538,0,2.531573534,446693376,1.79E-06,0,28,27,0,0.0233113463,-1,0.02314891107,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28
3162,0.02314891107,0,27,48.98474622,0.0233113463,0.02297153417,0.2625967562,17616,0,cuda:0,trapezoid,5972295,47,5972295,off,FALSE,0,256,256-random,5,1000,250,TRUE,0,0,100000,0.9615384615,canODE-FitMat,28,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,Fixed,800,5,0.06884956615,0.02498485802,0.0105481403,t_shortlinear.csv,FALSE,FALSE,TRUE,TRUE,TRUE,9,16,2,4,2.319143251,0,-1,FALSE,0,256,153,18,canODE-FitMat hp-0-0-0,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02330762427,0,26,-1,0.02316242177,0.02316242177,0.005453430982,47.40984368,446693376,2.40E-06,26,28,-1,0,0,0.2623126805,0.2537413538,0.2537413538,0,2.531573534,446693376,1.79E-06,0,28,27,0,0.0233113463,-1,0.02314891107,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28
10000,0.02314891107,0,27,48.98474622,0.0233113463,0.02297153417,0.2625967562,17616,0,cuda:0,trapezoid,5972295,47,5972295,off,FALSE,0,256,256-random,5,1000,250,TRUE,0,0,100000,0.9615384615,canODE-FitMat,28,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,Fixed,800,5,0.06884956615,0.02498485802,0.0105481403,t_shortlinear.csv,FALSE,FALSE,TRUE,TRUE,TRUE,9,16,2,4,2.319143251,0,-1,FALSE,0,256,153,18,canODE-FitMat hp-0-0-0,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02330762427,0,26,-1,0.02316242177,0.02316242177,0.005453430982,47.40984368,446693376,2.40E-06,26,28,-1,0,0,0.2623126805,0.2537413538,0.2537413538,0,2.531573534,446693376,1.79E-06,0,28,27,0,0.0233113463,-1,0.02314891107,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28
31623,0.02314891107,0,27,48.98474622,0.0233113463,0.02297153417,0.2625967562,17616,0,cuda:0,trapezoid,5972295,47,5972295,off,FALSE,0,256,256-random,5,1000,250,TRUE,0,0,100000,0.9615384615,canODE-FitMat,28,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,Fixed,800,5,0.06884956615,0.02498485802,0.0105481403,t_shortlinear.csv,FALSE,FALSE,TRUE,TRUE,TRUE,9,16,2,4,2.319143251,0,-1,FALSE,0,256,153,18,canODE-FitMat hp-0-0-0,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02330762427,0,26,-1,0.02316242177,0.02316242177,0.005453430982,47.40984368,446693376,2.40E-06,26,28,-1,0,0,0.2623126805,0.2537413538,0.2537413538,0,2.531573534,446693376,1.79E-06,0,28,27,0,0.0233113463,-1,0.02314891107,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28
100000,0.02314891107,0,27,48.98474622,0.0233113463,0.02297153417,0.2625967562,17616,0,cuda:0,trapezoid,5972295,47,5972295,off,FALSE,0,256,256-random,5,1000,250,TRUE,0,0,100000,0.9615384615,canODE-FitMat,28,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,Fixed,800,5,0.06884956615,0.02498485802,0.0105481403,t_shortlinear.csv,FALSE,FALSE,TRUE,TRUE,TRUE,9,16,2,4,2.319143251,0,-1,FALSE,0,256,153,18,canODE-FitMat hp-0-0-0,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02314891107,0,27,0.0233113463,-1,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28,0.02330762427,0,26,-1,0.02316242177,0.02316242177,0.005453430982,47.40984368,446693376,2.40E-06,26,28,-1,0,0,0.2623126805,0.2537413538,0.2537413538,0,2.531573534,446693376,1.79E-06,0,28,27,0,0.0233113463,-1,0.02314891107,0.02314891107,0.002726715491,48.98474622,446693376,2.55E-06,27,28
